Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2023-11-27,3399.57177734375,3405.719204728569,3323.4320721526938,3346.7629889871805,7569205,2023-11-27
2023-12-04,3510.94970703125,3528.665689036048,3386.3573608362403,3431.5183786132698,8508249,2023-12-04
2023-12-11,3737.77197265625,3771.606458006144,3449.2829677736904,3507.271099383459,19011963,2023-12-11
2023-12-18,3701.952880859375,3803.60169165703,3623.8770078670964,3734.9646368102485,11042750,2023-12-18
2023-12-25,3672.329345703125,3715.505981876674,3645.222996695166,3701.952807372694,5837092,2023-12-25
2024-01-01,3618.6005859375,3709.6973722110365,3534.47419257372,3669.037849864256,9534321,2024-01-01
2024-01-08,3758.8759765625,3780.609411473842,3555.190995069816,3618.6004865112186,12322335,2024-01-08
2024-01-15,3817.203125,3838.45251853275,3690.8681808213055,3833.612099215559,12873958,2024-01-15
2024-01-22,3705.782470703125,3834.8911016985076,3675.049172415224,3834.8911016985076,7481717,2024-01-22
2024-01-29,3857.5029296875,3875.106297335912,3677.1399412224,3696.5426576445648,10707343,2024-01-29
2024-02-05,4020.3115234375,4069.961016230209,3853.4184694098435,3873.745080983314,12735955,2024-02-05
2024-02-12,4015.0595703125,4055.6159194621537,3938.421262796641,4016.7131288677924,6061552,2024-02-12
2024-02-19,3940.949951171875,4016.7130391852897,3862.074450025372,4009.9534895154097,9372002,2024-02-19
2024-02-26,3982.041015625,4040.9299235109497,3873.502137508707,3925.2914762375603,12094968,2024-02-26
2024-03-04,3995.899658203125,4010.877135457934,3849.8681864718355,3992.3983125739137,8253239,2024-03-04
2024-03-11,4103.5146484375,4124.668039112031,3973.9197377533033,3976.8374468118595,15473880,2024-03-11
2024-03-18,3803.622802734375,4138.040994154708,3749.2562506531285,4099.624490419093,21958093,2024-03-18
2024-03-25,3769.9716796875,3838.4404862157617,3724.358021871526,3803.622446199932,9721283,2024-03-25
2024-04-01,3870.097900390625,3918.1427476206427,3745.3658388903177,3790.784795472241,12716888,2024-04-01
2024-04-08,3891.640380859375,3922.033184595543,3810.5281612258013,3873.745192997031,10636316,2024-04-08
2024-04-15,3721.246337890625,3952.7179388838545,3696.6402756744365,3891.640510964951,13685782,2024-04-15
2024-04-22,3716.529296875,3791.0766689773036,3698.2449391305313,3731.7499176156784,9749230,2024-04-22
2024-04-29,3737.974365234375,3786.7975551120285,3674.4170765264616,3732.7225837261853,8767049,2024-04-29
2024-05-06,3787.089111328125,3878.6080163195966,3747.311105034956,3747.311105034956,8762603,2024-05-06
2024-05-13,3745.8037109375,3846.5133558986477,3724.94213731778,3777.9471886190386,8560933,2024-05-13
2024-05-20,3771.11865234375,3825.488592649005,3732.4719588255507,3756.0323141250756,6624479,2024-05-20
2024-05-27,3596.203857421875,3828.770177828147,3579.354123272811,3776.506368858484,19087656,2024-05-27
2024-06-03,3814.66357421875,3835.285014018203,3518.3719355929443,3656.794913817861,17232921,2024-06-03
2024-06-10,3754.02392578125,3826.3700886654947,3749.5174928165306,3815.692124216771,9124613,2024-06-10
2024-06-17,3733.1572265625,3798.8420325256525,3703.0823739554276,3754.0235733994346,10771816,2024-06-17
2024-06-24,3824.655517578125,3879.368422948388,3714.1034574107343,3731.1981012385536,11938934,2024-06-24
2024-07-01,3930.11376953125,3964.939965928484,3804.9159217988094,3804.9159217988094,10973987,2024-07-01
2024-07-08,4098.7587890625,4114.4330054282855,3816.279925327529,3940.1061389494125,24115752,2024-07-08
2024-07-15,4214.796875,4269.999603918371,4060.5038006972427,4149.455269584478,16394269,2024-07-15
2024-07-22,4308.49072265625,4342.465037283493,4187.862511972368,4222.180592332353,12433939,2024-07-22
2024-07-29,4205.5859375,4350.860283872451,4192.772153494779,4335.149662220011,10888326,2024-07-29
2024-08-05,4152.26806640625,4181.234524096817,4036.1567571889777,4162.332683061447,9972323,2024-08-05
2024-08-12,4336.18017578125,4346.932323500371,4107.345360108889,4153.495307975281,9116108,2024-08-12
2024-08-19,4383.16455078125,4482.436123581243,4310.944988587691,4341.0405481604985,9803623,2024-08-19
2024-08-26,4471.39013671875,4509.193819455762,4376.684355328706,4407.811215751955,10393782,2024-08-26
2024-09-02,4376.14453125,4505.020723481237,4356.4573504263435,4493.237757334381,7537240,2024-09-02
2024-09-09,4440.80322265625,4467.069415474761,4350.36887037054,4374.425757251046,8097450,2024-09-09
2024-09-16,4207.40234375,4463.829036609308,4151.040587546543,4445.123770508149,14191722,2024-09-16
2024-09-23,4230.77197265625,4298.818403851764,4163.314306151548,4222.229131238599,14404146,2024-09-23
2024-09-30,4175.3427734375,4221.001763140562,4133.856917201922,4209.365989229444,10642363,2024-09-30
2024-10-07,4074.156982421875,4219.529130575923,4038.0716498141223,4196.601347165058,12235048,2024-10-07
2024-10-14,4048.4794921875,4094.5316328638087,3993.6397504161,4065.1231228400356,12139874,2024-10-14
2024-10-21,3993.884033203125,4074.9912593413683,3932.4629920047646,4067.756490252011,9926395,2024-10-21
2024-10-28,3921.684814453125,4069.1343862349836,3897.8645789769075,4005.1050222986537,8808688,2024-10-28
2024-11-04,4081.930419921875,4139.807611009256,3851.8481349793287,3904.065788244307,12401187,2024-11-04
2024-11-11,4080.84765625,4167.860498525397,4051.8600369763685,4063.4256707568247,5918372,2024-11-11
2024-11-18,4177.9990234375,4188.186720017956,3927.5906129582722,4146.894755871459,10571077,2024-11-18
2024-11-25,4203.83740234375,4308.715364322219,4129.817151927626,4212.843736169785,12247798,2024-11-25
2024-12-02,4375.74658203125,4418.564032558381,4163.676971023121,4203.000316111447,12573325,2024-12-02
2024-12-09,4403.701171875,4424.371666662094,4325.448584466717,4360.933222223086,9671413,2024-12-09
2024-12-16,4104.86474609375,4404.783972155217,4087.3442333797852,4389.035023874885,13579407,2024-12-16
2024-12-23,4099.50048828125,4151.816428951701,4050.3340488483946,4134.14788561331,5443788,2024-12-23
2024-12-30,4035.5693359375,4133.409577760064,3968.7840985371968,4085.8676339635294,7358547,2024-12-30
2025-01-06,4198.71875,4229.576941801279,3948.6059081697067,4041.0817162125086,17222696,2025-01-06
2025-01-13,4059.58642578125,4255.119841742144,4035.716926596611,4178.392743867745,13498125,2025-01-13
2025-01-20,4152.35009765625,4191.35009765625,4030.0,4145.7998046875,9401710,2025-01-20
2025-01-27,4073.14990234375,4156.35009765625,4028.300048828125,4102.0,8698509,2025-01-27
2025-02-03,4029.39990234375,4150.0,3998.699951171875,4030.89990234375,9340233,2025-02-03
2025-02-10,3934.85009765625,4052.0,3900.0,4040.0,8787706,2025-02-10
2025-02-17,3786.0,3934.0,3751.300048828125,3856.5,13038860,2025-02-17
2025-02-24,3483.25,3763.199951171875,3457.0,3743.14990234375,17519344,2025-02-24
2025-03-03,3611.199951171875,3625.0,3464.300048828125,3485.0,15127898,2025-03-03
2025-03-10,3511.050048828125,3622.10009765625,3484.10009765625,3606.5,7867247,2025-03-10
2025-03-17,3578.10009765625,3616.25,3462.75,3489.0,12749267,2025-03-17
2025-03-24,3606.14990234375,3710.0,3566.60009765625,3600.0,11285033,2025-03-24
2025-03-31,3299.39990234375,3606.14990234375,3295.5,3606.14990234375,14237994,2025-03-31
2025-04-07,3231.5,3349.0,3056.050048828125,3100.0,22280739,2025-04-07
2025-04-14,3298.89990234375,3314.39990234375,3218.0,3231.5,8828897,2025-04-14
2025-04-21,3448.0,3477.800048828125,3284.10009765625,3290.10009765625,13682533,2025-04-21
2025-04-28,3431.0,3509.89990234375,3366.0,3435.0,7702721,2025-04-28
2025-05-05,3440.300048828125,3504.5,3398.10009765625,3450.0,9161682,2025-05-05
2025-05-12,3561.300048828125,3630.5,3502.199951171875,3505.0,14292514,2025-05-12
