ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,diwali,diwali_lower,diwali_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-06-04,222.25316885200493,115.63557286396016,294.39608213127195,222.25316885200493,222.25316885200493,-17.662463865781678,-17.662463865781678,-17.662463865781678,0.0,0.0,0.0,0.0,0.0,0.0,-2.3117504896581553,-2.3117504896581553,-2.3117504896581553,-15.350713376123522,-15.350713376123522,-15.350713376123522,0.0,0.0,0.0,204.59070498622324
2007-06-05,222.10594297293522,116.69594730414084,290.0528544955971,222.10594297293522,222.10594297293522,-17.388007423690315,-17.388007423690315,-17.388007423690315,0.0,0.0,0.0,0.0,0.0,0.0,-2.796451564812943,-2.796451564812943,-2.796451564812943,-14.591555858877374,-14.591555858877374,-14.591555858877374,0.0,0.0,0.0,204.7179355492449
2007-06-06,221.95871709386554,117.28474434776591,293.6560651576513,221.95871709386554,221.95871709386554,-16.208928288153118,-16.208928288153118,-16.208928288153118,0.0,0.0,0.0,0.0,0.0,0.0,-2.3999232240731225,-2.3999232240731225,-2.3999232240731225,-13.809005064079996,-13.809005064079996,-13.809005064079996,0.0,0.0,0.0,205.74978880571243
2007-06-07,221.81149121479584,112.70290111118909,292.51092080619065,221.81149121479584,221.81149121479584,-14.457386435889628,-14.457386435889628,-14.457386435889628,0.0,0.0,0.0,0.0,0.0,0.0,-1.443788427348648,-1.443788427348648,-1.443788427348648,-13.01359800854098,-13.01359800854098,-13.01359800854098,0.0,0.0,0.0,207.35410477890622
2007-06-08,221.66426533572607,127.94232631041965,295.5269011348637,221.66426533572607,221.66426533572607,-15.44469013198167,-15.44469013198167,-15.44469013198167,0.0,0.0,0.0,0.0,0.0,0.0,-3.227773732797014,-3.227773732797014,-3.227773732797014,-12.216916399184655,-12.216916399184655,-12.216916399184655,0.0,0.0,0.0,206.2195752037444
2007-06-11,221.222587698517,118.3082936392106,295.67849400967594,221.222587698517,221.222587698517,-12.256644021850422,-12.256644021850422,-12.256644021850422,0.0,0.0,0.0,0.0,0.0,0.0,-2.3117504896512924,-2.3117504896512924,-2.3117504896512924,-9.944893532199128,-9.944893532199128,-9.944893532199128,0.0,0.0,0.0,208.96594367666657
2007-06-12,221.07536181944724,123.14020720632845,301.09548998432285,221.07536181944724,221.07536181944724,-12.066320673270463,-12.066320673270463,-12.066320673270463,0.0,0.0,0.0,0.0,0.0,0.0,-2.796451564816343,-2.796451564816343,-2.796451564816343,-9.26986910845412,-9.26986910845412,-9.26986910845412,0.0,0.0,0.0,209.00904114617677
2007-06-13,220.9281359403776,117.70833151365437,298.115157729803,220.9281359403776,220.9281359403776,-11.056781680376389,-11.056781680376389,-11.056781680376389,0.0,0.0,0.0,0.0,0.0,0.0,-2.399923224073061,-2.399923224073061,-2.399923224073061,-8.656858456303329,-8.656858456303329,-8.656858456303329,0.0,0.0,0.0,209.8713542600012
2007-06-14,220.78091006130782,124.77169183449597,297.19474537488446,220.78091006130782,220.78091006130782,-9.561067007386741,-9.561067007386741,-9.561067007386741,0.0,0.0,0.0,0.0,0.0,0.0,-1.4437884273492672,-1.4437884273492672,-1.4437884273492672,-8.117278580037475,-8.117278580037475,-8.117278580037475,0.0,0.0,0.0,211.21984305392107
2007-06-15,220.63368418223817,126.40370832257491,295.9784675460242,220.63368418223817,220.63368418223817,-10.889127444471585,-10.889127444471585,-10.889127444471585,0.0,0.0,0.0,0.0,0.0,0.0,-3.2277737327916913,-3.2277737327916913,-3.2277737327916913,-7.6613537116798955,-7.6613537116798955,-7.6613537116798955,0.0,0.0,0.0,209.74455673776657
2007-06-18,220.19200654502902,127.76452538882066,297.52598626889414,220.19200654502902,220.19200654502902,-9.185510819306728,-9.185510819306728,-9.185510819306728,0.0,0.0,0.0,0.0,0.0,0.0,-2.311750489649166,-2.311750489649166,-2.311750489649166,-6.8737603296575625,-6.8737603296575625,-6.8737603296575625,0.0,0.0,0.0,211.0064957257223
2007-06-19,220.0447806659593,123.60321279196982,296.42446258638125,220.0447806659593,220.0447806659593,-9.617477575632943,-9.617477575632943,-9.617477575632943,0.0,0.0,0.0,0.0,0.0,0.0,-2.796451564813024,-2.796451564813024,-2.796451564813024,-6.821026010819917,-6.821026010819917,-6.821026010819917,0.0,0.0,0.0,210.42730309032638
2007-06-20,219.8975547868896,120.8171165420952,296.2957757756765,219.8975547868896,219.8975547868896,-9.275851487837397,-9.275851487837397,-9.275851487837397,0.0,0.0,0.0,0.0,0.0,0.0,-2.399923224072998,-2.399923224072998,-2.399923224072998,-6.875928263764397,-6.875928263764397,-6.875928263764397,0.0,0.0,0.0,210.6217032990522
2007-06-21,219.75032890781983,127.49096627396318,298.89661217387385,219.75032890781983,219.75032890781983,-8.480398457939437,-8.480398457939437,-8.480398457939437,0.0,0.0,0.0,0.0,0.0,0.0,-1.4437884273461106,-1.4437884273461106,-1.4437884273461106,-7.036610030593326,-7.036610030593326,-7.036610030593326,0.0,0.0,0.0,211.2699304498804
2007-06-22,219.60310302875018,119.31878478234908,295.4620155100205,219.60310302875018,219.60310302875018,-10.52661723854371,-10.52661723854371,-10.52661723854371,0.0,0.0,0.0,0.0,0.0,0.0,-3.227773732797252,-3.227773732797252,-3.227773732797252,-7.298843505746458,-7.298843505746458,-7.298843505746458,0.0,0.0,0.0,209.07648579020648
2007-06-25,219.161425391541,118.58508597205412,299.5469731277171,219.161425391541,219.161425391541,-10.930351145649597,-10.930351145649597,-10.930351145649597,0.0,0.0,0.0,0.0,0.0,0.0,-2.31175048964704,-2.31175048964704,-2.31175048964704,-8.618600656002556,-8.618600656002556,-8.618600656002556,0.0,0.0,0.0,208.2310742458914
2007-06-26,219.01419951247135,125.38404619302769,297.9307039104655,219.01419951247135,219.01419951247135,-11.996997076328393,-11.996997076328393,-11.996997076328393,0.0,0.0,0.0,0.0,0.0,0.0,-2.7964515648097055,-2.7964515648097055,-2.7964515648097055,-9.200545511518687,-9.200545511518687,-9.200545511518687,0.0,0.0,0.0,207.01720243614295
2007-06-27,218.86697363340159,117.20240359543968,291.48959900562375,218.86697363340159,218.86697363340159,-12.231271972146539,-12.231271972146539,-12.231271972146539,0.0,0.0,0.0,0.0,0.0,0.0,-2.399923224074806,-2.399923224074806,-2.399923224074806,-9.831348748071731,-9.831348748071731,-9.831348748071731,0.0,0.0,0.0,206.63570166125504
2007-06-28,218.71974775433193,117.44474651796024,291.8419415398141,218.71974775433193,218.71974775433193,-11.939521333182471,-11.939521333182471,-11.939521333182471,0.0,0.0,0.0,0.0,0.0,0.0,-1.4437884273485673,-1.4437884273485673,-1.4437884273485673,-10.495732905833904,-10.495732905833904,-10.495732905833904,0.0,0.0,0.0,206.78022642114945
2007-06-29,218.5725218752622,116.87862956973775,297.1273113799262,218.5725218752622,218.5725218752622,-14.405348113691874,-14.405348113691874,-14.405348113691874,0.0,0.0,0.0,0.0,0.0,0.0,-3.2277737327979494,-3.2277737327979494,-3.2277737327979494,-11.177574380893924,-11.177574380893924,-11.177574380893924,0.0,0.0,0.0,204.16717376157033
2007-07-02,218.13084423805307,113.57392950938149,290.2270613594495,218.13084423805307,218.13084423805307,-15.473642864413666,-15.473642864413666,-15.473642864413666,0.0,0.0,0.0,0.0,0.0,0.0,-2.311750489640177,-2.311750489640177,-2.311750489640177,-13.161892374773489,-13.161892374773489,-13.161892374773489,0.0,0.0,0.0,202.6572013736394
